mr_id,plain_text_en,plain_text_zh,source,prior_pattern,noether_block,noether_metapattern,triviality,notes
Cpl-App-07,Gd burnout keff convergence,Gd燃尽后keff收敛,PWR,P3,L*,m_conv,non-trivial,
Dif-Phy-14b,Rayleigh quotient upper bound (new),Rayleigh商上界（新）,PWR,P3,L*,m_conv,non-trivial,Distinct from Dif-Phy-14 (adjoint reciprocity); convergence aspect of same operator
Bur-Phy-08b,Iodine-pit overshoot,碘坑超调,General,P4,D*,m_dyn,trivial,Same MR ID as Bur-Phy-08 (P2 row); appears here as the qualitative-shape (overshoot) reading rather than monotone-dependence reading
Bur-Phy-09,Xe equilibrium then power-down rise-fall,Xe平衡后降功率先升后降,General,P4,D*,m_dyn,semi-trivial,
Bur-Phy-10,Sm rise-then-flat after shutdown,Sm停堆后先增后平,General,P4,D*,m_dyn,semi-trivial,
Bur-App-05,Pu239 saturation at high burnup,²³⁹Pu高燃耗后饱和,General,P4,D*,m_dyn,semi-trivial,
Bur-App-06,Pu238 rise-then-fall after shutdown,²³⁸Pu停堆后先增后降,General,P4,D*,m_dyn,non-trivial,
Bol-App-08,Negative-feedback damped oscillation,负反馈衰减振荡,General,P4,D*,m_dyn,semi-trivial,
Dif-Phy-12,Control-rod differential-worth curve,控制棒微分价值曲线,PWR,P4,D*,m_dyn,semi-trivial,
Cpl-App-04,ITC boron-concentration dependence,ITC硼浓度依赖,PWR,P4,D*,m_dyn,non-trivial,
Cpl-App-05,Shutdown-margin burnup variation,停堆裕度随燃耗变化,PWR,P4,D*,m_dyn,semi-trivial,
Cpl-App-06,Gd self-shielding S-curve,Gd自屏蔽S形曲线,PWR,P4,D*,m_dyn,non-trivial,
Bur-Alg-03,TTA truncation under-estimates closed-loop nuclides,TTA截断低估闭环核素,General,P5,E*,m_cmp,non-trivial,
Bur-Alg-04,CRAM vs MATREX deviation localisation,CRAM vs MATREX偏差定位,General,P5,E*,m_cmp,non-trivial,
Bol-Alg-09,MC-deterministic consistency,MC-确定论一致性,General,P5,E*,m_cmp,semi-trivial,
Bol-App-03,Multi-layer moderation peak,多层慢化峰,General,P5,D*,m_dyn,non-trivial,REASSIGNED to m_dyn: qualitative-shape phenomenon under canonical ordering D*>E*
Bol-App-09,Positive-feedback growth ordering,正反馈增长偏序,General,P5,E*,m_cmp,semi-trivial,
Dif-Alg-03,NEM-FDM limit consistency,NEM-FDM极限一致性,PWR,P5,L*,m_conv,semi-trivial,REASSIGNED to m_conv: limit-consistency under canonical ordering L*>E*
Cpl-App-08,Gd rod count vs concentration,Gd棒数vs浓度,PWR,P5,E*,m_cmp,non-trivial,
Cpl-App-10,Low-leakage loading ordering,Low-leakage装载偏序,PWR,P5,E*,m_cmp,semi-trivial,
Kin-Alg-01,Stiff-solver accuracy ordering (new),刚性求解器精度偏序（新）,PWR,P5,E*,m_cmp,non-trivial,
